"DEPARTURES_SCHEDULED","DEPARTURES_PERFORMED","PAYLOAD","SEATS","PASSENGERS","FREIGHT","MAIL","DISTANCE","RAMP_TO_RAMP","AIR_TIME","UNIQUE_CARRIER_NAME","CARRIER","ORIGIN","DEST","AIRCRAFT_GROUP","AIRCRAFT_TYPE","AIRCRAFT_CONFIG","YEAR","QUARTER","MONTH","DISTANCE_GROUP","CLASS",
0.00,1.00,23670.00,98.00,83.00,1.00,9.00,692.00,116.00,108.00,"Delta Air Lines Inc.","DL","ABE","ATL",6,"640",1,1991,3,8,2,"F",
0.00,1.00,25340.00,108.00,81.00,0.00,0.00,82.00,43.00,27.00,"United Air Lines Inc.","UA","ABE","LGA",7,"710",1,1991,3,8,1,"F",
0.00,1.00,32824.00,128.00,78.00,4.00,155.00,82.00,43.00,33.00,"US Airways Inc.","US","ABE","LGA",6,"619",1,1991,3,8,1,"F",
0.00,1.00,23670.00,98.00,22.00,0.00,258.00,77.00,26.00,17.00,"Delta Air Lines Inc.","DL","ABE","MDT",6,"640",1,1991,3,8,1,"F",
0.00,4.00,101360.00,432.00,49.00,1384.00,0.00,654.00,424.00,382.00,"United Air Lines Inc.","UA","ABE","ORD",7,"710",1,1991,3,8,2,"F",
0.00,1.00,26500.00,108.00,80.00,0.00,582.00,55.00,40.00,25.00,"US Airways Inc.","US","ABE","PHL",6,"640",1,1991,3,8,1,"F",
0.00,2.00,75276.00,292.00,135.00,39.00,0.00,253.00,115.00,79.00,"US Airways Inc.","US","ABE","PIT",6,"617",1,1991,3,8,1,"F",
0.00,1.00,48250.00,190.00,120.00,0.00,0.00,1974.00,276.00,258.00,"America West Airlines Inc.","HP","ABQ","BOS",6,"622",1,1991,3,8,4,"F",
0.00,1.00,34275.00,143.00,58.00,0.00,0.00,280.00,60.00,42.00,"America West Airlines Inc.","HP","ABQ","COS",6,"619",1,1991,3,8,1,"F",
0.00,1.00,31800.00,128.00,58.00,0.00,2.00,339.00,71.00,54.00,"United Air Lines Inc.","UA","ABQ","DEN",6,"619",1,1991,3,8,1,"F",
0.00,1.00,8105.00,37.00,32.00,0.00,0.00,159.00,72.00,54.00,"America West Airlines Inc.","HP","ABQ","DRO",4,"483",1,1991,3,8,1,"F",
0.00,1.00,38110.00,148.00,130.00,712.00,9.00,487.00,78.00,72.00,"America West Airlines Inc.","HP","ABQ","LAS",6,"694",1,1991,3,8,1,"F",
0.00,1.00,48135.00,187.00,147.00,138.00,100.00,677.00,103.00,91.00,"Delta Air Lines Inc.","DL","ABQ","LAX",6,"622",1,1991,3,8,2,"F",
0.00,1.00,58620.00,168.00,163.00,4850.00,191.00,677.00,106.00,87.00,"United Air Lines Inc.","UA","ABQ","LAX",6,"625",1,1991,3,8,2,"F",
0.00,1.00,32800.00,146.00,141.00,35.00,17.00,717.00,118.00,105.00,"Trans World Airways LLC","TW","ABQ","MCI",7,"715",1,1991,3,8,2,"F",
0.00,1.00,38110.00,148.00,146.00,0.00,0.00,1118.00,156.00,138.00,"America West Airlines Inc.","HP","ABQ","ORD",6,"694",1,1991,3,8,3,"F",
0.00,1.00,32824.00,128.00,88.00,439.00,1238.00,328.00,72.00,54.00,"US Airways Inc.","US","ABQ","PHX",6,"619",1,1991,3,8,1,"F",
0.00,1.00,11330.00,50.00,43.00,0.00,0.00,180.00,62.00,55.00,"Air Wisconsin Airlines Corp","ZW","ACB","OSH",4,"450",1,1991,3,8,1,"F",
0.00,21.00,735000.00,1134.00,200.00,11033.00,15383.00,1192.00,4569.00,4357.00,"Markair Inc.","BF","ADK","ANC",6,"621",3,1991,3,8,3,"F",
0.00,1.00,9800.00,50.00,18.00,87.00,0.00,252.00,65.00,58.00,"Markair Inc.","BF","ADQ","ANC",5,"570",1,1991,3,8,1,"F",
0.00,48.00,523200.00,2304.00,1491.00,8202.00,3420.00,252.00,3635.00,3247.00,"Markair Inc.","BF","ADQ","ANC",4,"484",1,1991,3,8,1,"F",
0.00,1.00,26155.00,107.00,64.00,0.00,0.00,143.00,48.00,37.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"620",1,1991,3,8,1,"F",
0.00,1.00,36300.00,148.00,75.00,156.00,12.00,143.00,71.00,60.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"715",1,1991,3,8,1,"F",
0.00,1.00,73740.00,260.00,145.00,4950.00,397.00,143.00,65.00,35.00,"Delta Air Lines Inc.","DL","AGS","ATL",7,"760",1,1991,3,8,1,"F",
0.00,1.00,34883.00,145.00,135.00,0.00,642.00,143.00,40.00,29.00,"Pan American World Airways (1)","PA","AGS","ATL",7,"715",1,1991,3,8,1,"F",
0.00,1.00,35500.00,142.00,49.00,0.00,0.00,143.00,46.00,29.00,"Delta Air Lines Inc.","DL","AGS","ATL",6,"655",1,1991,3,8,1,"F",
0.00,1.00,23250.00,103.00,41.00,0.00,18.00,277.00,59.00,46.00,"US Airways Inc.","US","AGS","BHM",6,"603",1,1991,3,8,1,"F",
0.00,1.00,9800.00,34.00,31.00,1138.00,0.00,289.00,91.00,86.00,"Markair Inc.","BF","AKN","ANC",5,"570",1,1991,3,8,1,"F",
0.00,32.00,768000.00,3520.00,1167.00,6548.00,13550.00,289.00,1852.00,1541.00,"Markair Inc.","BF","AKN","ANC",6,"621",1,1991,3,8,1,"F",
0.00,32.00,348800.00,1536.00,848.00,665.00,1399.00,289.00,2247.00,2021.00,"Markair Inc.","BF","AKN","ANC",4,"484",1,1991,3,8,1,"F",
0.00,1.00,9384.00,43.00,2.00,0.00,0.00,289.00,78.00,72.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",4,"465",3,1991,3,8,1,"F",
0.00,1.00,30159.00,67.00,7.00,6.00,117.00,289.00,60.00,54.00,"Reeve Aleutian Airways Inc.","RV","AKN","ANC",5,"550",3,1991,3,8,1,"F",
0.00,1.00,24000.00,110.00,84.00,0.00,921.00,71.00,34.00,22.00,"Markair Inc.","BF","AKN","DLG",6,"621",1,1991,3,8,1,"F",
0.00,1.00,22085.00,0.00,0.00,1257.00,3985.00,140.00,42.00,24.00,"Reeve Aleutian Airways Inc.","RV","AKN","PTH",5,"550",3,1991,3,8,1,"F",
0.00,1.00,120930.00,400.00,331.00,10640.00,997.00,1603.00,203.00,188.00,"Northwest Airlines Inc.","NW","AKN","SEA",8,"816",1,1991,3,8,4,"F",
0.00,1.00,39330.00,146.00,43.00,0.00,0.00,145.00,50.00,31.00,"Northwest Airlines Inc.","NW","ALB","BOS",7,"715",1,1991,3,8,1,"F",
0.00,3.00,79500.00,324.00,227.00,51.00,0.00,288.00,207.00,176.00,"US Airways Inc.","US","ALB","BWI",6,"640",1,1991,3,8,1,"F",
